"square_id","activity_date","activity_hour","total_activity"
"1",2013-11-07,"23",3.30182183120354
"1",2013-11-08,"00",1.5899261529197
"1",2013-11-08,"01",0.563429125850718
"1",2013-11-08,"02",0.366339671901317
"1",2013-11-08,"03",0.128323499548939
"1",2013-11-08,"04",0.843423777960174
"1",2013-11-08,"05",2.08576412464305
"1",2013-11-08,"06",8.58073562376405
"1",2013-11-08,"07",17.4044955970476
"1",2013-11-08,"08",17.61004254789
"1",2013-11-08,"09",16.3730229870295
"1",2013-11-08,"10",16.7092724228009
"1",2013-11-08,"11",18.5150794358812
"1",2013-11-08,"12",19.5839484979695
"1",2013-11-08,"13",17.3701875036591
"1",2013-11-08,"14",22.6089992288877
"1",2013-11-08,"15",22.4969895497561
"1",2013-11-08,"16",25.5819515789723
"1",2013-11-08,"17",26.9048488656503
"1",2013-11-08,"18",21.088732473823
"1",2013-11-08,"19",18.7362299146545
"1",2013-11-08,"20",14.6128359992979
"1",2013-11-08,"21",8.70869495288468
"1",2013-11-08,"22",5.64275504411015
"2",2013-11-07,"23",3.32013523173832
"2",2013-11-08,"00",1.5992267281059
"2",2013-11-08,"01",0.558267143981151
"2",2013-11-08,"02",0.363422138765147
"2",2013-11-08,"03",0.120371595340758
"2",2013-11-08,"04",0.860548646557001
"2",2013-11-08,"05",2.11257490299123
"2",2013-11-08,"06",8.73427893711529
"2",2013-11-08,"07",17.6767244586387
"2",2013-11-08,"08",17.8923101255551
"2",2013-11-08,"09",16.6382007265127
"2",2013-11-08,"10",17.0085047300228
"2",2013-11-08,"11",18.8353174812489
"2",2013-11-08,"12",19.9173654859
"2",2013-11-08,"13",17.674519238438
"2",2013-11-08,"14",23.020691679167
"2",2013-11-08,"15",22.806455742507
"2",2013-11-08,"16",25.9933287555163
"2",2013-11-08,"17",27.354321618522
"2",2013-11-08,"18",21.3996048875195
"2",2013-11-08,"19",19.0830160102578
"2",2013-11-08,"20",14.8642192617832
"2",2013-11-08,"21",8.84803093077527
"2",2013-11-08,"22",5.71301855011066
"3",2013-11-07,"23",3.33962912213453
"3",2013-11-08,"00",1.60912682246343
"3",2013-11-08,"01",0.552772418487573
"3",2013-11-08,"02",0.3603165401585
"3",2013-11-08,"03",0.111907107886285
"3",2013-11-08,"04",0.87877739172325
"3",2013-11-08,"05",2.14111391591588
"3",2013-11-08,"06",8.89771972004661
"3",2013-11-08,"07",17.9665013125038
"3",2013-11-08,"08",18.1927727955521
"3",2013-11-08,"09",16.9204719398345
"3",2013-11-08,"10",17.327025683513
